pandal_name,nearest_metro_station,area,last_mile_transport,distance_m,approx_time_min,google_maps_link,metro_line
Baghbazar Sarbojanin,Shyambazar,Baghbazar,Walk,700,9,https://www.google.com/maps/search/?api=1&query=Baghbazar+Sarbojanin+Durga+Puja+Kolkata,Blue Line (North-South)
Sikdar Bagan,Shyambazar,Hati Bagan,Walk,500,6,https://www.google.com/maps/search/?api=1&query=Sikdar+Bagan+Durga+Puja+Kolkata,Blue Line (North-South)
Hatibagan Nabinpally,Shyambazar,Hati Bagan,Walk,600,8,https://www.google.com/maps/search/?api=1&query=Hatibagan+Nabinpally+Durga+Puja+Kolkata,Blue Line (North-South)
Nalin Sarkar Street,Shyambazar,Hati Bagan,Walk,800,10,https://www.google.com/maps/search/?api=1&query=Nalin+Sarkar+Street+Durga+Puja+Kolkata,Blue Line (North-South)
Hatibagan Sarbojonin,Shyambazar,Hati Bagan,Walk,650,8,https://www.google.com/maps/search/?api=1&query=Hatibagan+Sarbojonin+Durga+Puja+Kolkata,Blue Line (North-South)
Kashi Bose Lane,Shyambazar,Hati Bagan,Walk,900,11,https://www.google.com/maps/search/?api=1&query=Kashi+Bose+Lane+Durga+Puja+Kolkata,Blue Line (North-South)
Lalabagan Nabankur,Shyambazar,Raja Nabakrishna St,Walk,1000,12,https://www.google.com/maps/search/?api=1&query=Lalabagan+Nabankur+Durga+Puja+Kolkata,Blue Line (North-South)
Tala Park Prattay,Belgachia,Tala,Auto/Rickshaw,1200,10,https://www.google.com/maps/search/?api=1&query=Tala+Park+Prattay+Durga+Puja+Kolkata,Blue Line (North-South)
Dakshinpara,Belgachia,Dum Dum,Auto,2500,15,https://www.google.com/maps/search/?api=1&query=Dakshinpara+Durga+Puja+Kolkata,Blue Line (North-South)
Dumdum Park Bharat Chakra,Belgachia,Dum Dum Park,Auto,3000,20,https://www.google.com/maps/search/?api=1&query=Dumdum+Park+Bharat+Chakra+Durga+Puja+Kolkata,Blue Line (North-South)
Dumdum Park Sarbajanin,Belgachia,Dum Dum Park,Auto,3000,20,https://www.google.com/maps/search/?api=1&query=Dumdum+Park+Sarbajanin+Durga+Puja+Kolkata,Blue Line (North-South)
Dumdum Park Tarun Dal,Belgachia,Dum Dum Park,Auto,3100,20,https://www.google.com/maps/search/?api=1&query=Dumdum+Park+Tarun+Dal+Durga+Puja+Kolkata,Blue Line (North-South)
Sree Bhumi Sporting Club,Belgachia,Lake Town,Auto/Bus,3500,25,https://www.google.com/maps/search/?api=1&query=Sree+Bhumi+Sporting+Club+Durga+Puja+Kolkata,Blue Line (North-South)
