pandal_name,nearest_metro_station,area,last_mile_transport,distance_m,approx_time_min,google_maps_link
Baghbazar Sarbojanin,Shyambazar,Baghbazar,Walk,700,9,https://www.google.com/maps/search/?api=1&query=Baghbazar+Sarbojanin+Durga+Puja+Kolkata
Sikdar Bagan,Shyambazar,Hati Bagan,Walk,500,6,https://www.google.com/maps/search/?api=1&query=Sikdar+Bagan+Durga+Puja+Kolkata
Hatibagan Nabinpally,Shyambazar,Hati Bagan,Walk,600,8,https://www.google.com/maps/search/?api=1&query=Hatibagan+Nabinpally+Durga+Puja+Kolkata
Nalin Sarkar Street,Shyambazar,Hati Bagan,Walk,800,10,https://www.google.com/maps/search/?api=1&query=Nalin+Sarkar+Street+Durga+Puja+Kolkata
Hatibagan Sarbojonin,Shyambazar,Hati Bagan,Walk,650,8,https://www.google.com/maps/search/?api=1&query=Hatibagan+Sarbojonin+Durga+Puja+Kolkata
Kashi Bose Lane,Shyambazar,Hati Bagan,Walk,900,11,https://www.google.com/maps/search/?api=1&query=Kashi+Bose+Lane+Durga+Puja+Kolkata
Lalabagan Nabankur,Shyambazar,Raja Nabakrishna St,Walk,1000,12,https://www.google.com/maps/search/?api=1&query=Lalabagan+Nabankur+Durga+Puja+Kolkata
Tala Park Prattay,Belgachia,Tala,Auto/Rickshaw,1200,10,https://www.google.com/maps/search/?api=1&query=Tala+Park+Prattay+Durga+Puja+Kolkata
Dakshinpara,Belgachia,Dum Dum,Auto,2500,15,https://www.google.com/maps/search/?api=1&query=Dakshinpara+Durga+Puja+Kolkata
Dumdum Park Bharat Chakra,Belgachia,Dum Dum Park,Auto,3000,20,https://www.google.com/maps/search/?api=1&query=Dumdum+Park+Bharat+Chakra+Durga+Puja+Kolkata
Dumdum Park Sarbajanin,Belgachia,Dum Dum Park,Auto,3000,20,https://www.google.com/maps/search/?api=1&query=Dumdum+Park+Sarbajanin+Durga+Puja+Kolkata
Dumdum Park Tarun Dal,Belgachia,Dum Dum Park,Auto,3100,20,https://www.google.com/maps/search/?api=1&query=Dumdum+Park+Tarun+Dal+Durga+Puja+Kolkata
Sree Bhumi Sporting Club,Belgachia,Lake Town,Auto/Bus,3500,25,https://www.google.com/maps/search/?api=1&query=Sree+Bhumi+Sporting+Club+Durga+Puja+Kolkata
Golaghata Sammilani,Belgachia,Ultadanga,Auto,2000,15,https://www.google.com/maps/search/?api=1&query=Golaghata+Sammilani+Durga+Puja+Kolkata
Dakshindari Youth,Belgachia,Ultadanga,Auto,2200,15,https://www.google.com/maps/search/?api=1&query=Dakshindari+Youth+Durga+Puja+Kolkata
Telengabagan,Belgachia,Ultadanga,Auto,2500,18,https://www.google.com/maps/search/?api=1&query=Telengabagan+Durga+Puja+Kolkata
Sovabazar Boro Rajbari,Shobhabazar Sutanuti,Sovabazar,Walk,400,5,https://www.google.com/maps/search/?api=1&query=Sovabazar+Boro+Rajbari+Durga+Puja+Kolkata
Sovabazar Choto Rajbari,Shobhabazar Sutanuti,Sovabazar,Walk,450,6,https://www.google.com/maps/search/?api=1&query=Sovabazar+Choto+Rajbari+Durga+Puja+Kolkata
Jagat Mukherjee Park,Shobhabazar Sutanuti,Sovabazar,Walk,600,8,https://www.google.com/maps/search/?api=1&query=Jagat+Mukherjee+Park+Durga+Puja+Kolkata
Kumartuli Sarbojanin,Shobhabazar Sutanuti,Kumartuli,Walk,800,10,https://www.google.com/maps/search/?api=1&query=Kumartuli+Sarbojanin+Durga+Puja+Kolkata
Kumartuli Park,Shobhabazar Sutanuti,Kumartuli,Walk,750,9,https://www.google.com/maps/search/?api=1&query=Kumartuli+Park+Durga+Puja+Kolkata
Beniatola Sarbojonin,Shobhabazar Sutanuti,Beniatola,Walk,600,7,https://www.google.com/maps/search/?api=1&query=Beniatola+Sarbojonin+Durga+Puja+Kolkata
Ahiritola Sarbojonin,Shobhabazar Sutanuti,Ahiritola,Walk,900,12,https://www.google.com/maps/search/?api=1&query=Ahiritola+Sarbojonin+Durga+Puja+Kolkata
Jorasanko Sadharan,Girish Park,Jorasanko,Walk,500,6,https://www.google.com/maps/search/?api=1&query=Jorasanko+Sadharan+Durga+Puja+Kolkata
Chorebagan Sarbojonin,Girish Park,Chorebagan,Walk,600,7,https://www.google.com/maps/search/?api=1&query=Chorebagan+Sarbojonin+Durga+Puja+Kolkata
Simla Byayam Samity,Girish Park,Simla St,Walk,350,5,https://www.google.com/maps/search/?api=1&query=Simla+Byayam+Samity+Durga+Puja+Kolkata
Chaltabagan Lohapatty,Girish Park,Amherst St,Walk,800,10,https://www.google.com/maps/search/?api=1&query=Chaltabagan+Lohapatty+Durga+Puja+Kolkata
Mohammad Ali Park,MG Road,Chittaranjan Ave,Walk,200,3,https://www.google.com/maps/search/?api=1&query=Mohammad+Ali+Park+Durga+Puja+Kolkata
College Square,MG Road,College St,Walk,600,7,https://www.google.com/maps/search/?api=1&query=College+Square+Durga+Puja+Kolkata
Santosh Mitra Square,Central,Bowbazar,Walk,400,5,https://www.google.com/maps/search/?api=1&query=Santosh+Mitra+Square+Durga+Puja+Kolkata
Sealdah Athletic Club,Central,Sealdah,Walk,1000,12,https://www.google.com/maps/search/?api=1&query=Sealdah+Athletic+Club+Durga+Puja+Kolkata
Subodh Mallick Square,Central,Wellington,Walk,600,8,https://www.google.com/maps/search/?api=1&query=Subodh+Mallick+Square+Durga+Puja+Kolkata
Kapalitola Sarbajanin,Central,Bowbazar,Walk,500,6,https://www.google.com/maps/search/?api=1&query=Kapalitola+Sarbajanin+Durga+Puja+Kolkata
68 Pally,Netaji Bhawan,Bhowanipur,Walk,400,5,https://www.google.com/maps/search/?api=1&query=68+Pally+Durga+Puja+Kolkata
76 Pally,Netaji Bhawan,Bhowanipur,Walk,500,6,https://www.google.com/maps/search/?api=1&query=76+Pally+Durga+Puja+Kolkata
Bhowanipur 75 Pally,Netaji Bhawan,Bhowanipur,Walk,300,4,https://www.google.com/maps/search/?api=1&query=Bhowanipur+75+Pally+Durga+Puja+Kolkata
