pandal_name,nearest_metro_station,area,last_mile_transport,distance_m,approx_time_min,google_maps_link,metro_line,latitude,longitude
Baghbazar Sarbojanin,Shyambazar,Baghbazar,Walk,700,9,https://www.google.com/maps/search/?api=1&query=Baghbazar+Sarbojanin+Durga+Puja+Kolkata,Blue Line (North-South),22.6033,88.3672
Sikdar Bagan,Shyambazar,Hati Bagan,Walk,500,6,https://www.google.com/maps/search/?api=1&query=Sikdar+Bagan+Durga+Puja+Kolkata,Blue Line (North-South),22.5992,88.3718
Hatibagan Nabinpally,Shyambazar,Hati Bagan,Walk,600,8,https://www.google.com/maps/search/?api=1&query=Hatibagan+Nabinpally+Durga+Puja+Kolkata,Blue Line (North-South),22.5996,88.3705
Nalin Sarkar Street,Shyambazar,Hati Bagan,Walk,800,10,https://www.google.com/maps/search/?api=1&query=Nalin+Sarkar+Street+Durga+Puja+Kolkata,Blue Line (North-South),22.5998,88.3712
Hatibagan Sarbojonin,Shyambazar,Hati Bagan,Walk,650,8,https://www.google.com/maps/search/?api=1&query=Hatibagan+Sarbojonin+Durga+Puja+Kolkata,Blue Line (North-South),22.5986,88.3712
Kashi Bose Lane,Shyambazar,Hati Bagan,Walk,900,11,https://www.google.com/maps/search/?api=1&query=Kashi+Bose+Lane+Durga+Puja+Kolkata,Blue Line (North-South),22.5956,88.3719
Lalabagan Nabankur,Shyambazar,Raja Nabakrishna St,Walk,1000,12,https://www.google.com/maps/search/?api=1&query=Lalabagan+Nabankur+Durga+Puja+Kolkata,Blue Line (North-South),22.5969,88.3778
Tala Park Prattay,Belgachia,Tala,Auto/Rickshaw,1200,10,https://www.google.com/maps/search/?api=1&query=Tala+Park+Prattay+Durga+Puja+Kolkata,Blue Line (North-South),22.6105,88.3762
Dakshinpara,Belgachia,Dum Dum,Auto,2500,15,https://www.google.com/maps/search/?api=1&query=Dakshinpara+Durga+Puja+Kolkata,Blue Line (North-South),22.612,88.394
Dumdum Park Bharat Chakra,Belgachia,Dum Dum Park,Auto,3000,20,https://www.google.com/maps/search/?api=1&query=Dumdum+Park+Bharat+Chakra+Durga+Puja+Kolkata,Blue Line (North-South),22.615,88.406
Dumdum Park Sarbajanin,Belgachia,Dum Dum Park,Auto,3000,20,https://www.google.com/maps/search/?api=1&query=Dumdum+Park+Sarbajanin+Durga+Puja+Kolkata,Blue Line (North-South),22.6162,88.4055
Dumdum Park Tarun Dal,Belgachia,Dum Dum Park,Auto,3100,20,https://www.google.com/maps/search/?api=1&query=Dumdum+Park+Tarun+Dal+Durga+Puja+Kolkata,Blue Line (North-South),22.6139,88.4072
Sree Bhumi Sporting Club,Belgachia,Lake Town,Auto/Bus,3500,25,https://www.google.com/maps/search/?api=1&query=Sree+Bhumi+Sporting+Club+Durga+Puja+Kolkata,Blue Line (North-South),22.6131,88.4024
Golaghata Sammilani,Belgachia,Ultadanga,Auto,2000,15,https://www.google.com/maps/search/?api=1&query=Golaghata+Sammilani+Durga+Puja+Kolkata,Blue Line (North-South),22.6052,88.3995
Dakshindari Youth,Belgachia,Ultadanga,Auto,2200,15,https://www.google.com/maps/search/?api=1&query=Dakshindari+Youth+Durga+Puja+Kolkata,Blue Line (North-South),22.6041,88.3912
Telengabagan,Belgachia,Ultadanga,Auto,2500,18,https://www.google.com/maps/search/?api=1&query=Telengabagan+Durga+Puja+Kolkata,Blue Line (North-South),22.5975,88.3842
Sovabazar Boro Rajbari,Shobhabazar Sutanuti,Sovabazar,Walk,400,5,https://www.google.com/maps/search/?api=1&query=Sovabazar+Boro+Rajbari+Durga+Puja+Kolkata,Blue Line (North-South),22.5947,88.3619
Sovabazar Choto Rajbari,Shobhabazar Sutanuti,Sovabazar,Walk,450,6,https://www.google.com/maps/search/?api=1&query=Sovabazar+Choto+Rajbari+Durga+Puja+Kolkata,Blue Line (North-South),22.5942,88.3625
Jagat Mukherjee Park,Shobhabazar Sutanuti,Sovabazar,Walk,600,8,https://www.google.com/maps/search/?api=1&query=Jagat+Mukherjee+Park+Durga+Puja+Kolkata,Blue Line (North-South),22.5972,88.3661
Kumartuli Sarbojanin,Shobhabazar Sutanuti,Kumartuli,Walk,800,10,https://www.google.com/maps/search/?api=1&query=Kumartuli+Sarbojanin+Durga+Puja+Kolkata,Blue Line (North-South),22.6015,88.3639
Kumartuli Park,Shobhabazar Sutanuti,Kumartuli,Walk,750,9,https://www.google.com/maps/search/?api=1&query=Kumartuli+Park+Durga+Puja+Kolkata,Blue Line (North-South),22.6022,88.3645
Beniatola Sarbojonin,Shobhabazar Sutanuti,Beniatola,Walk,600,7,https://www.google.com/maps/search/?api=1&query=Beniatola+Sarbojonin+Durga+Puja+Kolkata,Blue Line (North-South),22.5935,88.3588
Ahiritola Sarbojonin,Shobhabazar Sutanuti,Ahiritola,Walk,900,12,https://www.google.com/maps/search/?api=1&query=Ahiritola+Sarbojonin+Durga+Puja+Kolkata,Blue Line (North-South),22.5964,88.3582
Jorasanko Sadharan,Girish Park,Jorasanko,Walk,500,6,https://www.google.com/maps/search/?api=1&query=Jorasanko+Sadharan+Durga+Puja+Kolkata,Blue Line (North-South),22.5852,88.3615
Chorebagan Sarbojonin,Girish Park,Chorebagan,Walk,600,7,https://www.google.com/maps/search/?api=1&query=Chorebagan+Sarbojonin+Durga+Puja+Kolkata,Blue Line (North-South),22.5831,88.3629
Simla Byayam Samity,Girish Park,Simla St,Walk,350,5,https://www.google.com/maps/search/?api=1&query=Simla+Byayam+Samity+Durga+Puja+Kolkata,Blue Line (North-South),22.5888,88.3642
Chaltabagan Lohapatty,Girish Park,Amherst St,Walk,800,10,https://www.google.com/maps/search/?api=1&query=Chaltabagan+Lohapatty+Durga+Puja+Kolkata,Blue Line (North-South),22.5847,88.3705
Mohammad Ali Park,MG Road,Chittaranjan Ave,Walk,200,3,https://www.google.com/maps/search/?api=1&query=Mohammad+Ali+Park+Durga+Puja+Kolkata,Blue Line (North-South),22.5781,88.3628
College Square,MG Road,College St,Walk,600,7,https://www.google.com/maps/search/?api=1&query=College+Square+Durga+Puja+Kolkata,Blue Line (North-South),22.5746,88.3638
Santosh Mitra Square,Central,Bowbazar,Walk,400,5,https://www.google.com/maps/search/?api=1&query=Santosh+Mitra+Square+Durga+Puja+Kolkata,Blue Line (North-South),22.5658,88.3644
Sealdah Athletic Club,Central,Sealdah,Walk,1000,12,https://www.google.com/maps/search/?api=1&query=Sealdah+Athletic+Club+Durga+Puja+Kolkata,Blue Line (North-South),22.5681,88.3712
Subodh Mallick Square,Central,Wellington,Walk,600,8,https://www.google.com/maps/search/?api=1&query=Subodh+Mallick+Square+Durga+Puja+Kolkata,Blue Line (North-South),22.5628,88.3621
Kapalitola Sarbajanin,Central,Bowbazar,Walk,500,6,https://www.google.com/maps/search/?api=1&query=Kapalitola+Sarbajanin+Durga+Puja+Kolkata,Blue Line (North-South),22.5641,88.3598
68 Pally,Netaji Bhawan,Bhowanipur,Walk,400,5,https://www.google.com/maps/search/?api=1&query=68+Pally+Durga+Puja+Kolkata,Blue Line (North-South),22.5358,88.3469
76 Pally,Netaji Bhawan,Bhowanipur,Walk,500,6,https://www.google.com/maps/search/?api=1&query=76+Pally+Durga+Puja+Kolkata,Blue Line (North-South),22.5369,88.3475
Bhowanipur 75 Pally,Netaji Bhawan,Bhowanipur,Walk,300,4,https://www.google.com/maps/search/?api=1&query=Bhowanipur+75+Pally+Durga+Puja+Kolkata,Blue Line (North-South),22.5342,88.3461
22 Pally (Northern Park),Netaji Bhawan,Bhowanipur,Walk,600,7,https://www.google.com/maps/search/?api=1&query=22+Pally+(Northern+Park)+Durga+Puja+Kolkata,Blue Line (North-South),22.5388,88.3488
Paddapukur Youth,Netaji Bhawan,Paddapukur,Walk,800,10,https://www.google.com/maps/search/?api=1&query=Paddapukur+Youth+Durga+Puja+Kolkata,Blue Line (North-South),22.5395,88.3521
Harish Park,Netaji Bhawan,Harish Park,Walk,700,9,https://www.google.com/maps/search/?api=1&query=Harish+Park+Durga+Puja+Kolkata,Blue Line (North-South),22.5361,88.3418
Agradut Udaya Sangha,Netaji Bhawan,Bhowanipur,Walk,600,8,https://www.google.com/maps/search/?api=1&query=Agradut+Udaya+Sangha+Durga+Puja+Kolkata,Blue Line (North-South),22.5331,88.3442
