Pandal Name,Area,Nearest Metro Station,Alternative Metro Station,Last-Mile Transport,Last-Mile Distance,Approx. Last-Mile Time,Coordinates
Baghbazar Sarbojanin,Baghbazar,Shyambazar,Shobhabazar Sutanuti,Walk,700 m,8-10 mins,"22.6033, 88.3672"
Sikdar Bagan Sadharan,Hatibagan,Shyambazar,Shobhabazar Sutanuti,Walk,450 m,5-6 mins,"22.5992, 88.3718"
Hatibagan Nabinpally,Hatibagan,Shyambazar,Shobhabazar Sutanuti,Walk,500 m,6-7 mins,"22.5996, 88.3705"
Nalin Sarkar Street,Hatibagan,Shyambazar,Shobhabazar Sutanuti,Walk,400 m,5 mins,"22.5998, 88.3712"
Hatibagan Sarbojonin,Hatibagan,Shyambazar,Shobhabazar Sutanuti,Walk,600 m,7-8 mins,"22.5986, 88.3712"
Kashi Bose Lane,Hatibagan,Shyambazar,Girish Park,Walk,650 m,8-10 mins,"22.5956, 88.3719"
Lalabagan Nabankur,Haltibagan / Ultadanga,Shyambazar,Belgachia,Walk or Rickshaw,900 m,10-12 mins,"22.5969, 88.3778"
Tala Park Prattay,Tala,Belgachia,Shyambazar,Walk,800 m,10-12 mins,"22.6105, 88.3762"
Dakshinpara Dumdum Park Bharat Chakra,Dum Dum Park,Belgachia,Dum Dum,Auto / Rickshaw,2.8 km,10 mins,"22.6148, 88.4069"
Dumdum Park Sarbajanin,Dum Dum Park,Belgachia,Dum Dum,Auto / Rickshaw,2.9 km,10 mins,"22.6162, 88.4055"
Dumdum Park Tarun Dal,Dum Dum Park,Belgachia,Dum Dum,Auto / Rickshaw,2.7 km,9 mins,"22.6139, 88.4072"
Sree Bhumi Sporting Club,Lake Town,Belgachia,Salt Lake Sector V,Auto / Bus,3.2 km,10-15 mins,"22.6131, 88.4024"
Golaghata Sammilani,Lake Town,Belgachia,Dum Dum,Auto / Bus,2.2 km,8 mins,"22.6052, 88.3995"
Dakshindari Youth,Dakshindari,Belgachia,Shyambazar,Auto / Rickshaw,1.8 km,7 mins,"22.6041, 88.3912"
Telengabagan,Ultadanga,Belgachia,Shyambazar,Walk or Rickshaw,1.1 km,12-15 mins,"22.5975, 88.3842"
Sovabazar Boro Rajbari,Shobhabazar,Shobhabazar Sutanuti,Girish Park,Walk,250 m,3-4 mins,"22.5947, 88.3619"
Sovabazar Choto Rajbari,Shobhabazar,Shobhabazar Sutanuti,Girish Park,Walk,300 m,4 mins,"22.5942, 88.3625"
Jagat Mukherjee Park,Jatindra Mohan Avenue,Shobhabazar Sutanuti,Shyambazar,Walk,350 m,4-5 mins,"22.5972, 88.3661"
Kumartuli Sarbojonin,Kumartuli,Shobhabazar Sutanuti,Shyambazar,Walk,550 m,7 mins,"22.6015, 88.3639"
Kumartuli Park,Kumartuli,Shobhabazar Sutanuti,Girish Park,Walk,650 m,8-10 mins,"22.6022, 88.3645"
Beniatola Sarbojonin,Beniatola,Shobhabazar Sutanuti,Girish Park,Walk,500 m,6 mins,"22.5935, 88.3588"
Ahiritola Sarbojonin,Ahiritola,Shobhabazar Sutanuti,Girish Park,Walk,450 m,5-6 mins,"22.5964, 88.3582"
Jorasanko Sadharan,Jorasanko,Girish Park,MG Road,Walk,400 m,5 mins,"22.5852, 88.3615"
Chorebagan Sarbojonin,Chorebagan,Girish Park,MG Road,Walk,500 m,6-7 mins,"22.5831, 88.3629"
Simla Byayam Samity,Simla (Vivekananda Road),Girish Park,Shobhabazar Sutanuti,Walk,300 m,4 mins,"22.5888, 88.3642"
Chaltabagan Lohapatty,Manicktala,Girish Park,MG Road,Walk or Rickshaw,750 m,9-10 mins,"22.5847, 88.3705"
Muhammad Ali Park,Chittaranjan Avenue,MG Road,Central,Walk,250 m,3 mins,"22.5781, 88.3628"
College Square,College Street,MG Road,Central,Walk,500 m,6-7 mins,"22.5746, 88.3638"
Santosh Mitra Square,Lebutala (Bowbazar),Central,MG Road,Walk,350 m (from Central),4-5 mins,"22.5658, 88.3644"
Sealdah Athletic Club,Sealdah,Sealdah (Green Line),MG Road,Walk,450 m,5-6 mins,"22.5681, 88.3712"
Subodh Mallick Square,Bowbazar,Central,Chandni Chowk,Walk,400 m,5 mins,"22.5628, 88.3621"
Kapalitola Sarbajanin,Bowbazar,Central,Chandni Chowk,Walk,300 m,4 mins,"22.5641, 88.3598"
68 Pally,Bhowanipur,Netaji Bhavan,Jatin Das Park,Walk,400 m,5 mins,"22.5358, 88.3469"
76 Pally,Bhowanipur,Netaji Bhavan,Jatin Das Park,Walk,350 m,4-5 mins,"22.5369, 88.3475"
Bhowanipur 75 Pally,Bhowanipur,Netaji Bhavan,Jatin Das Park,Walk,500 m,6 mins,"22.5342, 88.3461"
22 Pally (Northern Park),Bhowanipur,Netaji Bhavan,Rabindra Sadan,Walk,450 m,5-6 mins,"22.5388, 88.3488"
Paddapukur Youth,Bhowanipur,Netaji Bhavan,Rabindra Sadan,Walk,600 m,7-8 mins,"22.5395, 88.3521"
Harish Park,Bhowanipur,Netaji Bhavan,Jatin Das Park,Walk,550 m,7 mins,"22.5361, 88.3418"
Agradut Udaya Sangha,Bhowanipur,Netaji Bhavan,Jatin Das Park,Walk,600 m,8 mins,"22.5331, 88.3442"
Swadhin Sangha,Bhowanipur,Netaji Bhavan,Rabindra Sadan,Walk,700 m,8-10 mins,"22.5401, 88.3452"
Jatin Das Park 23 Pally,Hazra,Jatin Das Park,Kalighat,Walk,150 m,2 mins,"22.5298, 88.3485"
Forward Club,Hazra,Jatin Das Park,Netaji Bhavan,Walk,300 m,4 mins,"22.5311, 88.3492"
Matri Mandir,Ballygunge Place / Hazra,Jatin Das Park,Kalighat,Walk or Rickshaw,800 m,10 mins,"22.5285, 88.3562"
Bakul Bagan,Bhowanipur,Jatin Das Park,Netaji Bhavan,Walk,450 m,5-6 mins,"22.5319, 88.3455"
Chetla Agrani Club,Chetla,Kalighat,Rabindra Sarobar,Walk or Auto,1.1 km,12-14 mins,"22.5186, 88.3375"
Alipore Sarbojonin,Alipore,Kalighat,Jatin Das Park,Walk or Rickshaw,950 m,11-12 mins,"22.5255, 88.3392"
Kolahol Gosthi,Kalighat,Kalighat,Jatin Das Park,Walk,400 m,5 mins,"22.5228, 88.3445"
66 Pally,Kalighat,Kalighat,Jatin Das Park,Walk,300 m,4-5 mins,"22.5211, 88.3466"
Badamtala Ashar Sangha,Kalighat,Kalighat,Jatin Das Park,Walk,250 m,3-4 mins,"22.5206, 88.3475"
Deshapriya Park,Kalighat / Rashbehari,Kalighat,Jatin Das Park,Walk,450 m,5-6 mins,"22.5189, 88.3519"
Tridhara Sammilani,Manohar Pukur,Jatin Das Park,Kalighat,Walk,600 m,7-8 mins,"22.5215, 88.3533"
Ballygunge Cultural,Ballygunge,Kalighat,Jatin Das Park,Walk or Rickshaw,1.0 km,12 mins,"22.5178, 88.3585"
Hindusthan Park,Gariahat,Kalighat,Rabindra Sarobar,Walk or Rickshaw,1.1 km,13-14 mins,"22.5175, 88.3611"
Hindusthan Club,Gariahat,Kalighat,Rabindra Sarobar,Walk or Rickshaw,1.2 km,14-15 mins,"22.5169, 88.3625"
Singhi Park,Gariahat,Kalighat,Rabindra Sarobar,Walk or Auto,1.4 km,16 mins,"22.5199, 88.3678"
Ekdalia Evergreen,Gariahat,Kalighat,Rabindra Sarobar,Walk or Auto,1.5 km,18 mins,"22.5195, 88.3662"
Bosepukur Sitala Mandir,Bosepukur (Kasba),Kalighat,Kavi Subhash (via Bypass),Auto or Rickshaw,2.9 km,12 mins,"22.5222, 88.3855"
Rajdanga Naba Uday Sangha,Kasba,Kalighat,Rabindra Sarobar,Auto or Rickshaw,3.2 km,14 mins,"22.5201, 88.3892"
Mudiali Club,Mudiali,Rabindra Sarobar,Kalighat,Walk,400 m,5-6 mins,"22.5113, 88.3471"
Shib Mandir Sarbojonin,Mudiali,Rabindra Sarobar,Kalighat,Walk,450 m,5-6 mins,"22.5108, 88.3491"
Trikone Park,Tollygunge,Rabindra Sarobar,Mahanayak Uttam Kumar,Walk,650 m,8 mins,"22.5065, 88.3458"
Haridevpur 41 Pally,Haridevpur,Mahanayak Uttam Kumar,Netaji,Auto,2.4 km,8-10 mins,"22.4862, 88.3341"
Vivekananda Park Athletic Club,Haridevpur,Mahanayak Uttam Kumar,Netaji,Auto,2.6 km,9 mins,"22.4851, 88.3312"
Ajeya Sanghati,Haridevpur,Mahanayak Uttam Kumar,Netaji,Auto,2.2 km,8 mins,"22.4885, 88.3355"
New Sporting Club,Haridevpur,Mahanayak Uttam Kumar,Netaji,Auto,2.5 km,9 mins,"22.4842, 88.3333"
Barisha Club,Behala Sakherbazar,Mahanayak Uttam Kumar,Taratala (Purple Line),Auto or Bus,3.5 km,12-15 mins,"22.4891, 88.3142"
Naktala Udayan Sangha,Naktala,Gitanjali,Netaji,Walk,350 m,4-5 mins,"22.4721, 88.3622"
Baishnabghata Balak Samity,Baishnabghata,Gitanjali,Kavi Nazrul,Walk,500 m,6-7 mins,"22.4688, 88.3655"
